Id,Category
0,2
1,4
2,2
3,0
4,2
5,4
6,2
7,0
8,4
9,4
10,1
11,1
12,4
13,3
14,3
15,3
16,4
17,3
18,4
19,2
20,3
21,2
22,4
23,3
24,4
25,1
26,1
27,3
28,3
29,1
30,2
31,2
32,4
33,2
34,3
35,0
36,4
37,4
38,0
39,4
40,2
41,3
42,1
43,0
44,2
45,4
46,0
47,4
48,0
49,2
50,1
51,0
52,2
53,3
54,1
55,3
56,3
57,1
58,0
59,2
60,1
61,0
62,2
63,4
64,0
65,2
66,1
67,0
68,0
69,4
70,0
71,4
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,3
80,2
81,4
82,1
83,1
84,4
85,1
86,0
87,2
88,4
89,1
90,2
91,2
92,4
93,2
94,3
95,0
96,4
97,4
98,4
99,3
100,2
101,0
102,0
103,1
104,4
105,4
106,2
107,0
108,1
109,1
110,1
111,0
112,3
113,3
114,2
115,3
116,4
117,4
118,4
119,4
120,1
121,3
122,4
123,0
124,3
125,2
126,2
127,3
128,3
129,2
130,0
131,3
132,2
133,2
134,0
135,0
136,2
137,3
138,3
139,0
140,1
141,3
142,0
143,1
144,3
145,4
146,2
147,2
148,2
149,2
150,2
151,3
152,4
153,2
154,1
155,4
156,1
157,1
158,4
159,2
160,1
161,2
162,2
163,0
164,1
165,1
166,2
167,0
168,4
169,1
170,2
171,3
172,3
173,0
174,0
175,0
176,3
177,4
178,2
179,0
180,3
181,0
182,4
183,2
184,0
185,4
186,2
187,1
188,2
189,2
190,3
191,1
192,0
193,1
194,0
195,2
196,3
197,2
198,0
199,2
200,4
201,4
202,1
203,1
204,4
205,1
206,0
207,1
208,2
209,1
210,3
211,3
212,0
213,2
214,0
215,4
216,1
217,0
218,2
219,4
220,0
221,2
222,3
223,1
224,3
225,1
226,4
227,0
228,0
229,1
230,0
231,0
232,0
233,4
234,2
235,4
236,3
237,1
238,1
239,2
240,3
241,1
242,0
243,4
244,1
245,4
246,0
247,1
248,2
249,0
250,0
251,3
252,3
253,4
254,0
255,3
256,3
257,2
258,4
259,3
260,2
261,1
262,1
263,3
264,1
265,2
266,4
267,4
268,1
269,3
270,2
271,2
272,1
273,4
274,2
275,3
276,0
277,2
278,2
279,0
280,4
281,4
282,2
283,2
284,3
285,1
286,3
287,1
288,1
289,1
290,0
291,2
292,3
293,2
294,4
295,2
296,3
297,0
298,3
299,1
300,1
301,1
302,3
303,2
304,2
305,3
306,2
307,2
308,2
309,1
310,3
311,3
312,3
313,1
314,3
315,0
316,4
317,4
318,0
319,0
320,3
321,0
322,4
323,1
324,0
325,4
326,4
327,3
328,0
329,3
330,0
331,2
332,2
333,0
334,3
335,1
336,2
337,1
338,0
339,1
340,1
341,0
342,2
343,2
344,3
345,4
346,2
347,3
348,1
349,1
350,4
351,0
352,3
353,0
354,1
355,4
356,3
357,3
358,1
359,2
360,0
361,4
362,4
363,1
364,2
365,4
366,3
367,2
368,4
369,2
370,4
371,0
372,3
373,4
374,2
375,1
376,0
377,2
378,3
379,3
380,4
381,0
382,3
383,0
384,4
385,4
386,2
387,3
388,2
389,1
390,1
391,1
392,4
393,0
394,2
395,4
396,3
397,3
398,4
399,3
400,4
401,2
402,0
403,0
404,1
405,2
406,3
407,1
408,2
409,3
410,0
411,4
412,2
413,0
414,0
415,3
416,4
417,2
418,3
419,2
420,3
421,2
422,3
423,0
424,4
425,1
426,2
427,2
428,0
429,4
430,4
431,3
432,1
433,0
434,0
435,3
436,3
437,1
438,3
439,4
440,0
441,1
442,2
443,0
444,4
445,2
446,1
447,2
448,0
449,4
450,3
451,3
452,3
453,1
454,0
455,3
456,2
457,0
458,2
459,0
460,3
461,2
462,3
463,0
464,2
465,4
466,0
467,2
468,1
469,0
470,1
471,0
472,1
473,3
474,1
475,3
476,3
477,2
478,0
479,3
480,0
481,0
482,0
483,0
484,0
485,1
486,4
487,1
488,2
489,4
490,4
491,0
492,2
493,3
494,0
495,0
496,0
497,3
498,4
499,3
500,0
501,0
502,3
503,1
504,3
505,1
506,2
507,1
508,1
509,0
510,2
511,0
512,2
513,2
514,0
515,2
516,1
517,1
518,2
519,2
520,0
521,0
522,2
523,2
524,4
525,0
526,4
527,0
528,3
529,1
530,1
531,0
532,1
533,1
534,3
535,4
536,0
537,4
538,0
539,4
540,0
541,0
542,1
543,3
544,4
545,2
546,0
547,4
548,0
549,2
550,0
551,1
552,3
553,0
554,1
555,0
556,4
557,2
558,4
559,3
560,2
561,1
562,2
563,0
564,0
565,0
566,1
567,4
568,4
569,0
570,3
571,0
572,4
573,0
574,4
575,4
576,1
577,1
578,3
579,1
580,2
581,0
582,3
583,0
584,1
585,2
586,0
587,2
588,4
589,1
590,0
591,3
592,0
593,2
594,0
595,1
596,3
597,1
598,0
599,0
600,3
601,1
602,4
603,0
604,1
605,1
606,4
607,2
608,0
609,3
610,0
611,0
612,1
613,4
614,1
615,0
616,3
617,0
618,3
619,4
620,1
621,0
622,3
623,2
624,4
625,4
626,4
627,3
628,0
629,0
630,2
631,1
632,2
633,1
634,4
635,4
636,0
637,0
638,3
639,0
640,4
641,0
642,0
643,2
644,0
645,1
646,0
647,2
648,1
649,0
650,1
651,1
652,1
653,4
654,1
655,2
656,1
657,0
658,2
659,3
660,1
661,2
662,2
663,2
664,4
665,0
666,3
667,0
668,1
669,2
670,3
671,3
672,4
673,1
674,1
675,0
676,3
677,2
678,1
679,2
680,3
681,3
682,4
683,1
684,3
685,0
686,4
687,2
688,2
689,4
690,2
691,3
692,4
693,3
694,2
695,2
696,2
697,0
698,2
699,4
700,0
701,0
702,3
703,2
704,0
705,0
706,0
707,4
708,0
709,0
710,3
711,1
712,4
713,4
714,3
715,2
716,2
717,4
718,2
719,2
720,1
721,4
722,4
723,3
724,0
725,4
726,1
727,2
728,3
729,2
730,4
731,1
732,0
733,0
734,2
735,2
736,0
737,0
738,0
739,0
740,4
741,1
742,2
743,2
744,4
745,0
746,0
747,2
748,1
749,3
750,4
751,1
752,4
753,1
754,1
755,0
756,3
757,1
758,4
759,0
760,2
761,2
762,3
763,1
764,4
765,4
766,3
767,4
768,2
769,4
770,0
771,1
772,2
773,2
774,1
775,0
776,0
777,2
778,4
779,0
780,0
781,3
782,0
783,3
784,2
785,2
786,2
787,1
788,1
789,4
790,1
791,3
792,1
793,0
794,3
795,1
796,0
797,3
798,4
799,4
800,3
801,0
802,1
803,3
804,3
805,0
806,3
807,1
808,2
809,4
810,1
811,1
812,4
813,3
814,0
815,3
816,2
817,2
818,3
819,4
820,4
821,1
822,0
823,4
824,2
825,0
826,1
827,3
828,0
829,0
830,3
831,1
832,1
833,1
834,4
835,1
836,3
837,1
838,4
839,0
840,2
841,2
842,1
843,2
844,3
845,3
846,4
847,3
848,1
849,0
850,2
851,4
852,4
853,0
854,4
855,3
856,1
857,3
858,3
859,0
860,0
861,3
862,0
863,1
864,4
865,2
866,2
867,0
868,4
869,0
870,2
871,2
872,1
873,0
874,1
875,1
876,3
877,3
878,2
879,4
880,3
881,2
882,1
883,0
884,3
885,2
886,2
887,3
888,3
889,0
890,0
891,4
892,3
893,3
894,0
895,3
896,3
897,0
898,0
899,1
900,0
901,0
902,1
903,1
904,1
905,3
906,0
907,0
908,4
909,2
910,2
911,3
912,0
913,0
914,1
915,1
916,3
917,4
918,4
919,0
920,3
921,4
922,1
923,0
924,3
925,1
926,0
927,1
928,1
929,2
930,0
931,3
932,0
933,4
934,0
935,1
936,3
937,1
938,0
939,2
940,4
941,1
942,4
943,1
944,3
945,4
946,0
947,2
948,0
949,4
950,3
951,3
952,3
953,4
954,1
955,2
956,0
957,3
958,3
959,1
960,1
